"microservicio","controlador","metodo","ruta","exposicion","autenticacion","roles_autorizacion","scope_institucional","sin_credencial","permiso_insuficiente","evidencia","observacion"
"academico-laboratorios-service","BloqueController","GET","/api/v1/bloques","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","BloqueController","POST","/api/v1/bloques","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","BloqueController","DELETE","/api/v1/bloques/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","BloqueController","GET","/api/v1/bloques/{id}","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","BloqueController","PUT","/api/v1/bloques/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","BloqueController","GET","/api/v1/campus/{campusId}/bloques","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","BloqueController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CampusController","GET","/api/v1/campus","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","CampusController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CampusController","POST","/api/v1/campus","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CampusController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CampusController","DELETE","/api/v1/campus/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CampusController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CampusController","GET","/api/v1/campus/{id}","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","CampusController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CampusController","PUT","/api/v1/campus/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CampusController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","GET","/api/v1/carreras","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","POST","/api/v1/carreras","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","DELETE","/api/v1/carreras/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","GET","/api/v1/carreras/{id}","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","PUT","/api/v1/carreras/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","CarreraController","GET","/api/v1/facultades/{facultadId}/carreras","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","CarreraController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","EquipoController","GET","/api/v1/equipos","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","EquipoController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","EquipoController","POST","/api/v1/equipos","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","EquipoController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","EquipoController","GET","/api/v1/equipos/{id}","JWT","Bearer JWT access","ACADEMICO_LEER o permiso de lectura especializado","NINGUNO_EXPLICITO","401","403","EquipoController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
"academico-laboratorios-service","EquipoController","PUT","/api/v1/equipos/{id}","JWT","Bearer JWT access","ROLE_ADMINISTRADOR o permiso de gestion especializado","NINGUNO_EXPLICITO","401","403","EquipoController; SecurityConfig","RBAC/autenticacion sin scope institucional adicional demostrado"
