run_id,scenario,strategy,repetition,excluded_from_analysis,valid,requests,latency_ms,double_allocation_rate,unnecessary_rejections,jain_users,jain_equipment,recovery_ms
esc1-production-r01,esc1,production,1,True,True,0,,,,,,
esc1-production-r02,esc1,production,2,False,True,0,,,,,,
esc1-production-r03,esc1,production,3,False,True,0,,,,,,
esc1-production-r04,esc1,production,4,False,True,0,,,,,,
esc1-production-r05,esc1,production,5,False,True,0,,,,,,
esc1-production-r06,esc1,production,6,False,True,0,,,,,,
esc1-production-r07,esc1,production,7,False,True,0,,,,,,
esc1-production-r08,esc1,production,8,False,True,0,,,,,,
esc1-production-r09,esc1,production,9,False,True,0,,,,,,
esc1-production-r10,esc1,production,10,True,True,0,,,,,,
esc2-s0-r01-ce4dacc0,esc2,s0,1,True,True,50,780.68026232,1.0,0,1.0,1.0,
esc2-s0-r02-a7bad9de,esc2,s0,2,False,True,50,614.51668156,1.0,0,1.0,1.0,
esc2-s0-r03-5bd30469,esc2,s0,3,False,True,50,199.01107766,1.0,0,1.0,1.0,
esc2-s0-r04-6e6cd579,esc2,s0,4,False,True,50,855.0029438,1.0,0,1.0,1.0,
esc2-s0-r05-a283247c,esc2,s0,5,False,True,50,210.71755718,1.0,0,1.0,1.0,
esc2-s0-r06-50528ad4,esc2,s0,6,False,True,50,811.5440884000001,1.0,0,1.0,1.0,
esc2-s0-r07-5b246c3a,esc2,s0,7,False,True,50,193.73623462,1.0,0,1.0,1.0,
esc2-s0-r08-72331373,esc2,s0,8,False,True,50,1128.3610901,1.0,0,1.0,1.0,
esc2-s0-r09-853412d0,esc2,s0,9,False,True,50,296.58628054,1.0,0,1.0,1.0,
esc2-s0-r10-2695ede9,esc2,s0,10,True,True,50,758.19394774,1.0,0,1.0,1.0,
esc2-s1-r01-b43ad524,esc2,s1,1,True,True,50,876.4381856,0.0,0,1.0,1.0,
esc2-s1-r02-0a6c10a2,esc2,s1,2,False,True,50,994.5775221600001,0.0,0,1.0,1.0,
esc2-s1-r03-12765dce,esc2,s1,3,False,True,50,1421.7275177000001,0.0,0,1.0,1.0,
esc2-s1-r04-f7ae4460,esc2,s1,4,False,True,50,734.53953066,0.0,0,1.0,1.0,
esc2-s1-r05-996b7821,esc2,s1,5,False,True,50,753.41307812,0.0,0,1.0,1.0,
esc2-s1-r06-d1013d12,esc2,s1,6,False,True,50,854.17606282,0.0,0,1.0,1.0,
esc2-s1-r07-1d4c92ef,esc2,s1,7,False,True,50,915.22735014,0.0,0,1.0,1.0,
esc2-s1-r08-c850241a,esc2,s1,8,False,True,50,1000.0547280400001,0.0,0,1.0,1.0,
esc2-s1-r09-7dc1251c,esc2,s1,9,False,True,50,778.95534692,0.0,0,1.0,1.0,
esc2-s1-r10-a61cdbb4,esc2,s1,10,True,True,50,715.35437954,0.0,0,1.0,1.0,
esc2-s2-r01-4b3822e0,esc2,s2,1,True,True,50,743.9678933600001,0.0,0,1.0,1.0,
esc2-s2-r02-5143a667,esc2,s2,2,False,True,50,840.5926657399999,0.0,0,1.0,1.0,
esc2-s2-r03-2e231df6,esc2,s2,3,False,True,50,736.39636754,0.0,0,1.0,1.0,
esc2-s2-r04-09ca5561,esc2,s2,4,False,True,50,738.2841053999999,0.0,0,1.0,1.0,
