GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.audit,OpenTelemetryLogBridge,0,5,0,0,0,3,0,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.audit,AuthenticationEventPublisherConfig,0,8,0,0,0,2,0,2,0,2
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.audit,SecurityAuditEventListener,3,61,2,4,1,19,2,5,0,4
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.audit,Slf4jAuditLogger,0,24,0,0,0,9,0,3,0,3
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,CustomUserDetails,14,78,2,0,4,20,5,8,4,8
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,JwtAuthenticationFilter,2,123,6,22,2,39,6,11,0,3
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,JwtService,12,280,5,11,2,88,6,18,1,15
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,JwtService.RefreshTokenInfo,0,15,0,0,0,1,0,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,DefaultUserDetailsFactory,0,8,0,0,0,2,0,2,0,2
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,CustomUserDetailsService,0,45,0,0,0,12,0,5,0,5
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.security,JwtAuthenticationEntryPoint,0,36,0,0,0,15,0,2,0,2
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.persistence,RefreshSessionPersistenceAdapter,1,119,1,1,0,24,1,9,0,9
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.persistence,UsuarioPersistenceAdapter,97,6,0,0,14,3,6,1,6,1
auth-service,ec.edu.uteq.scli.auth_service.domain.model,Permiso,0,18,0,0,0,1,0,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.domain.model,Rol,2,26,1,1,0,3,1,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.domain.model,RefreshSession,0,30,0,0,0,1,0,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.domain.model,Usuario,2,32,1,1,0,3,1,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.config,JwtProperties,0,15,0,0,0,1,0,1,0,1
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.config,SecurityConfig,0,136,0,0,0,22,0,11,0,11
auth-service,ec.edu.uteq.scli.auth_service.infrastructure.config,TimeConfig,0,5,0,0,0,2,0,2,0,2
auth-service,ec.edu.uteq.scli.auth_service.presentation.dto,ForgotPasswordRequest,0,6,0,0,0,1,0,1,0,1
