GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuarios-service,ec.edu.scli.usuarios.config,SecurityConfig,3,417,2,2,0,50,2,13,0,13
usuarios-service,ec.edu.scli.usuarios.presentation.dto.docente,DocenteRequest,0,24,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.docente,DocenteInternoResponse,0,12,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.docente,DocenteResponse,0,54,0,0,0,3,0,2,0,2
usuarios-service,ec.edu.scli.usuarios.presentation.dto.docente,DocenteResumenResponse,15,0,0,0,1,0,1,0,1,0
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,ContextoAcademicoEstudianteEntity,0,59,1,1,0,10,1,15,0,15
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,Estudiante,8,75,1,1,3,33,2,18,1,18
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,Administrador,4,79,1,1,1,35,1,19,0,19
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,Docente,8,89,1,1,3,39,2,22,1,22
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,AdscripcionInstitucionalEntity,16,36,0,0,5,11,5,9,5,9
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.entity,Perfil,11,114,1,1,4,50,3,29,2,29
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,ContextoEstudianteResumenResponse,0,21,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,EstudianteResponse,0,27,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,EstudianteInternoResponse,21,0,0,0,1,0,1,0,1,0
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,ContextoAcademicoEstudianteRequest,0,12,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,EstudianteRequest,0,18,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.presentation.dto.estudiante,ContextoAcademicoEstudianteResponse,0,24,0,0,0,1,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.infrastructure.security,HmacIdentificacionService,9,35,1,1,3,9,1,2,0,2
usuarios-service,ec.edu.scli.usuarios.infrastructure.security,CifradoAesGcmService,70,79,3,3,15,17,3,3,1,2
usuarios-service,ec.edu.scli.usuarios.domain.event,PerfilEvent,16,35,2,0,5,7,2,3,1,3
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.generator,AssignedOrGeneratedUuidGenerator,0,14,0,2,0,4,0,5,0,4
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.mapper,PerfilRelacionadoPersistenceMapper,0,268,0,0,0,67,0,7,0,7
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.mapper,PageMapper,0,59,1,7,0,18,1,6,0,3
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.mapper,PerfilPersistenceMapper,4,123,2,2,2,33,2,3,0,3
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence,DocenteRepositoryAdapter,0,93,0,0,0,15,0,8,0,8
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence,EstudianteRepositoryAdapter,0,93,0,0,0,15,0,8,0,8
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence,PerfilRepositoryAdapter,66,60,4,0,15,11,6,4,4,4
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence,AdministradorRepositoryAdapter,0,93,0,0,0,15,0,8,0,8
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence,AdscripcionInstitucionalRepositoryAdapter,29,6,0,0,6,3,2,1,2,1
usuarios-service,ec.edu.scli.usuarios.application.service,ContextoInstitucionalServiceImpl,19,121,5,11,2,26,5,7,0,4
usuarios-service,ec.edu.scli.usuarios.application.service,PerfilServiceImpl,205,283,10,12,57,81,18,20,11,16
usuarios-service,ec.edu.scli.usuarios.application.service,CompensacionAuthTransaccional,30,68,2,2,10,17,2,8,0,8
usuarios-service,ec.edu.scli.usuarios.application.service,ContextoAcademicoEstudianteService,106,295,10,22,15,69,21,18,11,12
usuarios-service,ec.edu.scli.usuarios.application.service,AsociacionRolService,174,148,24,10,20,34,22,5,8,2
usuarios-service,ec.edu.scli.usuarios.application.service,EstudianteServiceImpl,54,296,11,19,9,92,10,23,2,16
usuarios-service,ec.edu.scli.usuarios.application.service,AdministradorServiceImpl,36,296,11,19,7,99,8,23,0,16
