GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,MateriaEntity,13,73,0,0,6,31,2,19,2,19
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,LaboratorioEntity,13,79,0,0,6,33,2,21,2,21
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,BloqueEntity,13,55,0,0,6,23,2,15,2,15
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,CampusEntity,4,64,0,0,2,27,1,16,1,16
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,CarreraEntity,13,62,0,0,6,26,2,17,2,17
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,PeriodoLectivoEntity,13,83,0,0,6,32,2,23,2,23
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,PisoEntity,13,55,0,0,6,23,2,15,2,15
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,HorarioAcademicoEntity,13,90,0,0,6,38,2,25,2,25
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,FacultadEntity,13,55,0,0,6,23,2,15,2,15
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,EquipoEntity,13,128,0,0,6,54,2,35,2,35
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.entity,TipoEquipoEntity,13,55,0,0,6,23,2,15,2,15
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,TipoEquipoController,0,51,0,0,0,11,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,BloqueController,0,57,0,0,0,12,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,FacultadController,0,52,0,0,0,10,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,CarreraController,0,58,0,0,0,12,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,PisoController,0,56,0,0,0,12,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,PeriodoLectivoController,0,47,0,0,0,10,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,LaboratorioController,23,104,1,1,4,23,2,9,1,9
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,EquipoController,0,87,0,0,0,16,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,InternalController,67,118,6,14,13,26,6,14,3,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,MateriaController,0,93,0,0,0,20,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,CampusController,0,51,0,0,0,11,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.presentation.controller,HorarioAcademicoController,0,69,0,0,0,16,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.piso,PisoResponse,0,24,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.piso,PisoRequest,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.security,PoliticaAmbitoAcademico,158,196,45,33,41,41,42,15,8,10
academico-laboratorios-service,ec.edu.scli.academico.security,JwtTokenProvider.JwtAuthenticationData,0,9,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.security,JwtAuthenticationFilter,0,60,3,5,0,18,3,3,0,2
academico-laboratorios-service,ec.edu.scli.academico.security,JwtPrincipal,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.security,JwtTokenProvider,14,151,5,7,3,36,5,7,0,6
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,CarreraRepositoryAdapter,0,92,0,0,0,21,0,8,0,8
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,LaboratorioRepositoryAdapter,0,94,0,0,0,21,0,9,0,9
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,HorarioAcademicoRepositoryAdapter,0,78,0,0,0,20,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,BloqueRepositoryAdapter,0,91,0,0,0,20,0,8,0,8
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,PisoRepositoryAdapter,0,83,0,0,0,18,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,FacultadRepositoryAdapter,0,75,0,0,0,16,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,TipoEquipoRepositoryAdapter,0,75,0,0,0,16,0,7,0,7
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,CampusRepositoryAdapter,0,70,0,0,0,15,0,6,0,6
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,MateriaRepositoryAdapter,0,92,0,0,0,21,0,8,0,8
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,EquipoRepositoryAdapter,0,95,0,0,0,21,0,9,0,9
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.adapter,PeriodoLectivoRepositoryAdapter,12,81,0,0,3,17,1,8,1,8
academico-laboratorios-service,ec.edu.scli.academico.observability,OpenTelemetryLogBridge,0,5,0,0,0,3,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.exception,ApiError,0,21,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.exception,GlobalExceptionHandler,136,7,2,0,50,2,6,2,5,2
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability.dto,PrometheusRangeData,9,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability.dto,PrometheusRangeResponse,9,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability.dto,PrometheusSerieCruda,9,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,MateriaServiceImpl,31,169,0,6,8,51,3,13,3,10
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,FacultadServiceImpl,61,97,1,3,12,27,5,8,4,7
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,CarreraServiceImpl,25,159,0,6,7,48,2,13,2,10
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,LaboratorioServiceImpl,110,206,10,6,25,63,12,14,5,13
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,BloqueServiceImpl,30,154,0,6,8,38,3,12,3,9
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,CampusServiceImpl,11,129,0,4,2,33,1,11,1,9
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,PeriodoLectivoServiceImpl,119,191,19,5,17,56,17,14,7,12
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,PisoServiceImpl,23,159,0,6,7,39,2,13,2,10
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,HorarioAcademicoServiceImpl,9,166,0,8,1,56,1,15,1,11
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,EquipoServiceImpl,130,249,12,14,35,82,13,16,4,12
academico-laboratorios-service,ec.edu.scli.academico.application.service.impl,TipoEquipoServiceImpl,11,129,0,4,2,33,1,11,1,9
academico-laboratorios-service,ec.edu.scli.academico,AcademicoLaboratoriosServiceApplication,5,3,0,0,2,1,1,1,1,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.equipo,EquipoResponse,0,54,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.equipo,EquipoRequest,0,39,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.equipo,EquipoEstadoRequest,0,6,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability,LaboratorioEstadoMetricsRegistry,5,40,0,2,1,8,1,3,1,2
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability,HttpMetricsFilter,50,7,2,0,10,2,3,2,2,2
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability,HttpRequestsMetricsRegistry,27,8,2,0,11,4,3,1,2,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.observability,PrometheusQueryClient,127,9,4,0,27,5,6,1,4,1
academico-laboratorios-service,ec.edu.scli.academico.enums,EstadoPeriodo,0,21,0,0,0,4,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.enums,DiaSemana,0,45,0,0,0,8,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.enums,EstadoEquipo,0,27,0,0,0,5,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.enums,EstadoLaboratorio,0,27,0,0,0,5,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.client,ContextoInstitucionalResponse.Administrador,0,18,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.client,ContextoInstitucionalResponse.Adscripcion,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.client,UsuariosContextoClient,25,12,0,0,5,4,1,1,1,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.client,ContextoInstitucionalResponse,0,21,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.campus,CampusRequest,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.campus,CampusResponse,0,24,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.bootstrap,InitialAcademicDataBootstrap,71,1122,3,47,10,128,4,42,2,19
academico-laboratorios-service,ec.edu.scli.academico.application.facade.impl,LaboratorioDetalleFacadeImpl,0,55,0,0,0,13,0,2,0,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.bloque,BloqueResponse,0,24,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.bloque,BloqueRequest,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,CarreraEntityMapper,0,73,0,0,0,22,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,FacultadEntityMapper,0,67,0,0,0,17,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,CampusEntityMapper,0,67,0,0,0,17,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,TipoEquipoEntityMapper,0,67,0,0,0,17,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,MateriaEntityMapper,0,81,0,0,0,24,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,PisoEntityMapper,0,67,0,0,0,17,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,LaboratorioEntityMapper,0,87,0,0,0,26,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,HorarioAcademicoEntityMapper,0,93,0,0,0,29,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,PeriodoLectivoEntityMapper,0,97,0,0,0,28,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,EquipoEntityMapper,0,129,0,0,0,40,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.mapper,BloqueEntityMapper,0,67,0,0,0,17,0,3,0,3
academico-laboratorios-service,ec.edu.scli.academico.dto.internal,MateriaContextoResponse,18,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.dto.internal,ExisteResponse,0,9,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.dto.internal,CarreraEstadoResponse,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.dto.internal,LaboratorioDisponibilidadBaseResponse,0,21,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.generator,AssignedOrGeneratedUuidGenerator,0,14,0,2,0,4,0,5,0,4
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.audit,Slf4jAuditLogger,17,7,0,0,7,2,1,2,1,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.periodolectivo,PeriodoLectivoRequest,0,38,0,0,0,3,0,2,0,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.periodolectivo,PeriodoLectivoResponse,0,50,0,0,0,3,0,2,0,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.horario,HorarioAcademicoResponse,0,39,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.horario,HorarioAcademicoRequest,0,27,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.config,SecurityConfig,3,489,2,2,0,58,2,14,0,14
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.facultad,FacultadEstadoRequest,0,6,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.facultad,FacultadRequest,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.facultad,FacultadResponse,0,24,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.tipoequipo,TipoEquipoRequest,0,12,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.tipoequipo,TipoEquipoResponse,0,24,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.domain.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.domain.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.domain.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,TipoEquipoJpaSpecification,50,9,10,0,9,3,8,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,PisoJpaSpecification,24,6,4,0,6,2,4,2,2,2
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,LaboratorioJpaSpecification,55,9,8,0,12,3,7,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,MateriaJpaSpecification,62,12,12,0,12,4,10,4,4,4
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,CarreraJpaSpecification,62,12,12,0,12,4,10,4,4,4
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,FacultadJpaSpecification,50,9,10,0,9,3,8,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,EquipoJpaSpecification,36,9,6,0,9,3,6,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,CampusJpaSpecification,50,9,10,0,9,3,8,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,PeriodoLectivoJpaSpecification,19,3,4,0,3,1,3,1,1,1
academico-laboratorios-service,ec.edu.scli.academico.infrastructure.persistence.specification,BloqueJpaSpecification,43,9,8,0,9,3,7,3,3,3
academico-laboratorios-service,ec.edu.scli.academico.domain.model,HorarioAcademico,0,106,2,4,0,37,2,20,0,19
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Bloque,0,72,0,0,0,29,0,15,0,15
academico-laboratorios-service,ec.edu.scli.academico.domain.model,TipoEquipo,0,72,0,0,0,29,0,15,0,15
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Laboratorio,7,106,2,2,2,41,2,19,0,19
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Campus,0,72,0,0,0,29,0,15,0,15
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Materia,0,109,0,0,0,41,0,20,0,20
academico-laboratorios-service,ec.edu.scli.academico.domain.model,PeriodoLectivo,6,179,10,22,1,55,10,30,0,24
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Equipo,0,154,1,3,0,53,1,27,0,26
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Piso,0,72,0,0,0,29,0,15,0,15
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Carrera,0,81,0,0,0,32,0,16,0,16
academico-laboratorios-service,ec.edu.scli.academico.domain.model,Facultad,0,72,0,0,0,29,0,15,0,15
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,SerieEstadoResponse,9,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,LaboratorioRequest,0,18,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,PuntoSerieResponse,9,0,0,0,1,0,1,0,1,0
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,LaboratorioResponse,0,33,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,LaboratorioDetalleCompletoResponse,0,18,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.laboratorio,LaboratorioEstadoRequest,0,6,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.materia,MateriaRequest,0,26,0,0,0,3,0,2,0,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.materia,MateriaResponse,0,42,0,0,0,3,0,2,0,2
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.carrera,CarreraResponse,0,27,0,0,0,1,0,1,0,1
academico-laboratorios-service,ec.edu.scli.academico.presentation.dto.carrera,CarreraRequest,0,15,0,0,0,1,0,1,0,1
