GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reservas-solicitudes-service,ec.edu.scli.reservas.config,RestClientConfig,0,47,0,0,0,11,0,4,0,4
reservas-solicitudes-service,ec.edu.scli.reservas.config,FirebaseConfig,33,0,6,0,6,0,6,0,3,0
reservas-solicitudes-service,ec.edu.scli.reservas.config,OpenApiConfig,137,44,16,0,24,11,11,3,3,3
reservas-solicitudes-service,ec.edu.scli.reservas.config,SecurityConfig,3,531,2,2,0,63,2,13,0,13
reservas-solicitudes-service,ec.edu.scli.reservas.entity,BloqueoAgenda,4,73,0,0,1,22,1,20,1,20
reservas-solicitudes-service,ec.edu.scli.reservas.entity,ConfiguracionReserva,70,11,0,0,20,5,20,1,20,1
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,IncidenteService,78,114,4,4,9,20,5,8,2,7
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,PlanificacionAgregadaService,297,1683,68,135,35,341,81,97,19,55
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,PlanificacionService,305,740,78,48,44,162,67,30,7,27
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,PoliticaAmbitoLaboratorio,0,109,1,27,0,25,1,18,0,5
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,SolicitudExpirationScheduler,13,29,1,1,0,5,2,2,1,2
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,SolicitudRetiroPlanificacionService,140,545,20,28,14,114,25,26,8,19
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,NotificacionService,0,251,0,12,0,25,0,21,0,15
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,AsistenciaService,33,1186,20,89,3,161,21,85,1,48
reservas-solicitudes-service,ec.edu.scli.reservas.application.service,SolicitudCambioPlanificacionService,49,1066,26,96,1,185,28,59,4,21
reservas-solicitudes-service,ec.edu.scli.reservas.security,JwtAuthenticationFilter,0,65,3,5,0,24,3,4,0,3
reservas-solicitudes-service,ec.edu.scli.reservas.security,JwtTokenProvider,14,160,5,7,3,38,5,7,0,6
reservas-solicitudes-service,ec.edu.scli.reservas.security,SpringSecurityActorActualAdapter,39,3,4,0,6,1,4,1,2,1
reservas-solicitudes-service,ec.edu.scli.reservas.security,JwtPrincipal,0,16,0,0,0,2,0,2,0,2
