CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
765ba75a975c   scli-prod-web-1                              0.00%     9.559MiB / 15.61GiB   0.06%     12.6kB / 9.89kB   5.18MB / 8.19kB   5
dd9a46833e65   scli-prod-api-gateway-1                      0.97%     313.3MiB / 15.61GiB   1.96%     236MB / 1.93GB    983kB / 3.17MB    92
7ce52895f310   scli-prod-academico-laboratorios-service-1   0.15%     404.1MiB / 15.61GiB   2.53%     2.15MB / 25.9MB   14.1MB / 3.25MB   51
7e64cc66503f   scli-prod-auth-service-1                     0.12%     473.3MiB / 15.61GiB   2.96%     3.02MB / 29.3MB   13.3MB / 3.28MB   54
3b386f0c9148   scli-prod-reservas-solicitudes-service-1     0.36%     639.9MiB / 15.61GiB   4.00%     57.3MB / 235MB    29.2MB / 3.24MB   50
ecddf365fe99   scli-prod-usuarios-service-1                 0.19%     384.2MiB / 15.61GiB   2.40%     1.94MB / 25.6MB   8.21MB / 3.23MB   51
c0805c9ec749   scli-prod-grafana-1                          0.08%     82.45MiB / 15.61GiB   0.52%     636kB / 479kB     216MB / 16.8MB    15
2324092124cc   scli-prod-otel-collector-1                   5.25%     72.09MiB / 15.61GiB   0.45%     2.26GB / 163MB    99.6MB / 0B       10
495ee3ba8ca7   scli-prod-loki-1                             0.83%     99.77MiB / 15.61GiB   0.62%     12.3MB / 1.94MB   115MB / 73.4MB    11
2d83c1dc2d55   scli-prod-prometheus-1                       0.04%     68.96MiB / 15.61GiB   0.43%     439MB / 14.8MB    237MB / 159MB     10
69c324771ab1   scli-prod-cadvisor-1                         2.12%     58.32MiB / 15.61GiB   0.36%     1.43MB / 37.6MB   41MB / 0B         13
01661e648d22   scli-prod-tempo-1                            1.71%     241.2MiB / 15.61GiB   1.51%     125MB / 2.92MB    101MB / 715MB     14
f2dc97a92823   scli-cockroach-academico                     71.17%    824.8MiB / 15.61GiB   5.16%     3.67MB / 3.39MB   346MB / 5.78GB    17
c93632dac88b   reservas-db-node-3                           15.84%    1.373GiB / 15.61GiB   8.79%     1.29GB / 1GB      1.23GB / 17.4GB   20
4dc514e39488   reservas-db-node-2                           15.92%    1.224GiB / 15.61GiB   7.84%     1.26GB / 1.1GB    1.03GB / 17.8GB   19
259331a8e4eb   reservas-db-node-1                           9.64%     1.302GiB / 15.61GiB   8.34%     1.34GB / 1.8GB    1.12GB / 17.4GB   19
96900f6ec51b   scli-cockroach-auth                          99.09%    1.024GiB / 15.61GiB   6.56%     3.87MB / 5.31MB   512MB / 6.09GB    32
46fef70e501f   scli-cockroach-usuarios                      2.60%     824.3MiB / 15.61GiB   5.16%     2.75MB / 2.91MB   1.1GB / 4.44GB    14
