reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.135418048Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-25","level":"WARN","level_value":30000,"trace_id":"a87d48b1919488a359f0776146eecb5f","span_id":"01c26378df649bc9","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:29.967299969Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-54","level":"WARN","level_value":30000,"trace_id":"7a9840fb8efc0b42bd509f1ee102f22a","span_id":"f471dd0792b620c9","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:29.955857613Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-59","level":"WARN","level_value":30000,"trace_id":"08e8e0c20a123277ba17faccef15264a","span_id":"fe804483223a1f1a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.1307367Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-26","level":"WARN","level_value":30000,"trace_id":"8f4554e4342263d42ca4ced224cf8ebe","span_id":"1ef48cd980162e04","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.242765753Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-63","level":"WARN","level_value":30000,"trace_id":"ae5dbd2344d9fcbe15d9e6a4cfb49f7b","span_id":"9fddc2ed25c93b5d","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.121600316Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-53","level":"WARN","level_value":30000,"trace_id":"f59e6263a5ea5c16f514a8340770aced","span_id":"fb3b503ef06adf95","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.2607434Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-59","level":"ERROR","level_value":40000,"trace_id":"08e8e0c20a123277ba17faccef15264a","span_id":"fe804483223a1f1a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:29.957801663Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-43","level":"WARN","level_value":30000,"trace_id":"799faebec3d498606f7a42c1af46e45f","span_id":"547f3dbb4baaac08","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.434125417Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-43","level":"ERROR","level_value":40000,"trace_id":"799faebec3d498606f7a42c1af46e45f","span_id":"547f3dbb4baaac08","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.397267764Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-25","level":"ERROR","level_value":40000,"trace_id":"a87d48b1919488a359f0776146eecb5f","span_id":"01c26378df649bc9","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T23:10:30.453099015Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-63","level":"ERROR","level_value":40000,"trace_id":"ae5dbd2344d9fcbe15d9e6a4cfb49f7b","span_id":"9fddc2ed25c93b5d","service":"reservas-solicitudes-service"}
