CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              3.64%     6.375MiB / 15.61GiB   0.04%     201kB / 948kB     6.14MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      0.20%     293.1MiB / 15.61GiB   1.83%     430kB / 9.67MB    6.31MB / 651kB    54
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.30%     438.9MiB / 15.61GiB   2.75%     290kB / 7.57MB    43.9MB / 696kB    47
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.53%     360.3MiB / 15.61GiB   2.25%     371kB / 4.58MB    6.84MB / 745kB    49
0576f3367c19   scli-prod-auth-service-1                     0.20%     432.1MiB / 15.61GiB   2.70%     444kB / 5.36MB    16MB / 745kB      55
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.16%     366.7MiB / 15.61GiB   2.29%     493kB / 5MB       8.76MB / 782kB    50
c0805c9ec749   scli-prod-grafana-1                          0.10%     70.83MiB / 15.61GiB   0.44%     9.54MB / 358kB    58.8MB / 51.4MB   14
2324092124cc   scli-prod-otel-collector-1                   0.55%     63.78MiB / 15.61GiB   0.40%     68.8MB / 28.7MB   24.7MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             0.61%     86.44MiB / 15.61GiB   0.54%     4.82MB / 1.05MB   33.1MB / 20.5MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.00%     57.7MiB / 15.61GiB    0.36%     252MB / 9.75MB    22.8MB / 47.5MB   10
69c324771ab1   scli-prod-cadvisor-1                         2.38%     51.8MiB / 15.61GiB    0.32%     977kB / 25.7MB    11.1MB / 0B       14
01661e648d22   scli-prod-tempo-1                            0.36%     97.48MiB / 15.61GiB   0.61%     12.7MB / 1.58MB   33.5MB / 79.7MB   10
f2dc97a92823   scli-cockroach-academico                     9.29%     688.8MiB / 15.61GiB   4.31%     2.71MB / 2.51MB   104MB / 2.84GB    16
c93632dac88b   reservas-db-node-3                           18.59%    986.7MiB / 15.61GiB   6.17%     1.36GB / 1.98GB   333MB / 15GB      17
4dc514e39488   reservas-db-node-2                           10.71%    765.5MiB / 15.61GiB   4.79%     1.56GB / 834MB    381MB / 15.3GB    16
259331a8e4eb   reservas-db-node-1                           11.06%    909.4MiB / 15.61GiB   5.69%     1.59GB / 1.69GB   370MB / 15.1GB    16
96900f6ec51b   scli-cockroach-auth                          9.24%     688.3MiB / 15.61GiB   4.30%     2.42MB / 2.3MB    95.9MB / 2.81GB   16
46fef70e501f   scli-cockroach-usuarios                      2.19%     682.7MiB / 15.61GiB   4.27%     1.91MB / 2.04MB   303MB / 2.24GB    13
