Sun Aug 30 04:19:48 UTC 2026
CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              0.00%     6.156MiB / 15.61GiB   0.04%     201kB / 948kB     6.14MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      1.12%     293.3MiB / 15.61GiB   1.83%     431kB / 9.67MB    6.31MB / 659kB    54
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.21%     438.9MiB / 15.61GiB   2.75%     290kB / 7.57MB    43.9MB / 709kB    47
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.13%     360.1MiB / 15.61GiB   2.25%     371kB / 4.58MB    6.84MB / 754kB    49
0576f3367c19   scli-prod-auth-service-1                     16.25%    432.2MiB / 15.61GiB   2.70%     457kB / 5.36MB    16MB / 758kB      55
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.14%     366.7MiB / 15.61GiB   2.29%     494kB / 5.01MB    8.76MB / 786kB    50
c0805c9ec749   scli-prod-grafana-1                          0.16%     70.83MiB / 15.61GiB   0.44%     9.54MB / 358kB    58.8MB / 51.4MB   14
2324092124cc   scli-prod-otel-collector-1                   0.22%     63.78MiB / 15.61GiB   0.40%     68.8MB / 28.7MB   24.7MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             1.23%     86.69MiB / 15.61GiB   0.54%     4.82MB / 1.05MB   33.1MB / 20.5MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.94%     57.45MiB / 15.61GiB   0.36%     252MB / 9.75MB    22.8MB / 47.5MB   10
69c324771ab1   scli-prod-cadvisor-1                         1.56%     52.76MiB / 15.61GiB   0.33%     977kB / 25.7MB    11.1MB / 0B       14
01661e648d22   scli-prod-tempo-1                            0.60%     97.53MiB / 15.61GiB   0.61%     12.7MB / 1.58MB   33.5MB / 79.7MB   10
f2dc97a92823   scli-cockroach-academico                     8.02%     688.8MiB / 15.61GiB   4.31%     2.71MB / 2.51MB   104MB / 2.84GB    16
c93632dac88b   reservas-db-node-3                           16.46%    986.5MiB / 15.61GiB   6.17%     1.36GB / 1.98GB   333MB / 15GB      17
4dc514e39488   reservas-db-node-2                           10.22%    765.5MiB / 15.61GiB   4.79%     1.56GB / 834MB    381MB / 15.3GB    16
259331a8e4eb   reservas-db-node-1                           39.36%    937.9MiB / 15.61GiB   5.87%     1.59GB / 1.69GB   370MB / 15.1GB    30
96900f6ec51b   scli-cockroach-auth                          42.87%    688.8MiB / 15.61GiB   4.31%     2.43MB / 2.31MB   95.9MB / 2.81GB   16
46fef70e501f   scli-cockroach-usuarios                      9.01%     682.6MiB / 15.61GiB   4.27%     1.91MB / 2.04MB   303MB / 2.25GB    13
878e3cee1c6e   priceless_leavitt                            82.21%    35.96MiB / 15.61GiB   0.22%     0B / 0B           4.1kB / 0B        2
Sun Aug 30 04:20:50 UTC 2026
CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
878e3cee1c6e   priceless_leavitt                            2.84%     36.84MiB / 15.61GiB   0.23%     0B / 0B           4.1kB / 36.9kB    2
3cc254b71af8   scli-prod-web-1                              0.00%     6.148MiB / 15.61GiB   0.04%     261kB / 1.02MB    6.14MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      30.92%    299.8MiB / 15.61GiB   1.88%     1.2MB / 12.6MB    6.31MB / 692kB    57
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     25.08%    449.2MiB / 15.61GiB   2.81%     979kB / 9.62MB    44.2MB / 737kB    47
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.23%     361.4MiB / 15.61GiB   2.26%     432kB / 4.94MB    6.84MB / 782kB    49
0576f3367c19   scli-prod-auth-service-1                     3.45%     437.6MiB / 15.61GiB   2.74%     766kB / 5.85MB    16MB / 786kB      60
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.17%     368.5MiB / 15.61GiB   2.30%     535kB / 5.26MB    8.76MB / 815kB    55
c0805c9ec749   scli-prod-grafana-1                          0.81%     70.83MiB / 15.61GiB   0.44%     9.54MB / 359kB    58.8MB / 51.4MB   14
2324092124cc   scli-prod-otel-collector-1                   0.62%     62.21MiB / 15.61GiB   0.39%     72.1MB / 29.2MB   24.7MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             0.79%     87.85MiB / 15.61GiB   0.55%     4.92MB / 1.07MB   33.4MB / 21.3MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.40%     57.52MiB / 15.61GiB   0.36%     253MB / 9.8MB     22.8MB / 47.7MB   10
69c324771ab1   scli-prod-cadvisor-1                         2.56%     55.05MiB / 15.61GiB   0.34%     982kB / 25.9MB    11.1MB / 0B       14
01661e648d22   scli-prod-tempo-1                            0.05%     119.7MiB / 15.61GiB   0.75%     13MB / 1.59MB     33.6MB / 80MB     10
f2dc97a92823   scli-cockroach-academico                     16.83%    689.8MiB / 15.61GiB   4.31%     2.73MB / 2.59MB   104MB / 2.85GB    16
c93632dac88b   reservas-db-node-3                           28.30%    986.5MiB / 15.61GiB   6.17%     1.36GB / 1.98GB   333MB / 15.1GB    17
4dc514e39488   reservas-db-node-2                           19.33%    765.3MiB / 15.61GiB   4.79%     1.56GB / 836MB    381MB / 15.3GB    16
259331a8e4eb   reservas-db-node-1                           20.19%    923.9MiB / 15.61GiB   5.78%     1.59GB / 1.7GB    370MB / 15.2GB    16
96900f6ec51b   scli-cockroach-auth                          8.66%     689.9MiB / 15.61GiB   4.31%     2.52MB / 2.58MB   97.6MB / 2.82GB   16
46fef70e501f   scli-cockroach-usuarios                      2.30%     925.7MiB / 15.61GiB   5.79%     1.96MB / 2.19MB   303MB / 2.27GB    13
Sun Aug 30 04:21:53 UTC 2026
CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
878e3cee1c6e   priceless_leavitt                            7.59%     37.38MiB / 15.61GiB   0.23%     0B / 0B           4.1kB / 123kB     2
3cc254b71af8   scli-prod-web-1                              0.00%     6.16MiB / 15.61GiB    0.04%     277kB / 1.03MB    6.14MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      32.02%    304.8MiB / 15.61GiB   1.91%     3.16MB / 20.6MB   6.31MB / 721kB    69
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     72.08%    463.3MiB / 15.61GiB   2.90%     2.89MB / 14.8MB   44.2MB / 766kB    48
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.38%     363MiB / 15.61GiB     2.27%     493kB / 5.28MB    6.84MB / 807kB    49
0576f3367c19   scli-prod-auth-service-1                     0.41%     440.8MiB / 15.61GiB   2.76%     1.09MB / 6.36MB   16MB / 811kB      59
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.12%     370MiB / 15.61GiB     2.31%     566kB / 5.52MB    8.76MB / 840kB    50
c0805c9ec749   scli-prod-grafana-1                          0.10%     70.99MiB / 15.61GiB   0.44%     9.54MB / 362kB    59.1MB / 51.5MB   14
